GameIndex,GameWinner,GameTimestamp,RoundIndex,RoundWinner,RoundTimestamp,StartedAt,UpdatedAt,Actor,Target,Category,State,Name,Duration,Reason,BotPosX,BotPosY,BotLinv,BotAngv,BotRot,BotIsDashActive,BotIsSkillActive,BotIsOutFromArena,EnemyBotPosX,EnemyBotPosY,EnemyBotLinv,EnemyBotAngv,EnemyBotRot,EnemyBotIsDashActive,EnemyBotIsSkillActive,EnemyBotIsOutFromArena,ColActor,ColImpact,ColTieBreaker,ColLockDuration,ColBotPosX,ColBotPosY,ColBotLinv,ColBotAngv,ColBotRot,ColBotIsDashActive,ColBotIsSkillActive,ColBotIsOutFromArena,ColEnemyBotPosX,ColEnemyBotPosY,ColEnemyBotLinv,ColEnemyBotAngv,ColEnemyBotRot,ColEnemyBotIsDashActive,ColEnemyBotIsSkillActive,ColEnemyBotIsOutFromArena
1,1,20250925_111545,1,1,20250925_111545,2.26576543,2.26576543,1,,Action,1,TurnLeft,0.1262978,,2.43822646,2.01016259,0.08310155,9.082675,82.2332458,0,0,0,-1.37273479,0.8090967,3.12299633,9.45052052,277.187775,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.36595726,2.36595726,0,,Action,0,TurnRight,0.1,,-0.9758782,0.8591452,4,6.93577528,297.187775,0,0,0,2.44515538,2.01016259,0.06098857,6.66581345,102.233215,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.36595726,2.36595726,1,,Action,1,TurnLeft,0.1,,2.44515538,2.01016259,0.06098857,6.66581345,102.233215,0,0,0,-0.9758782,0.8591452,4,6.93577528,297.187775,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.36595726,2.36595726,1,,Action,0,Accelerate,0.7910566,,2.44515538,2.01016259,0.06098857,6.66581345,102.233215,0,0,0,-0.9758782,0.8591452,4,6.93577528,297.187775,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.36595726,2.36595726,1,,Action,0,Dash,0.2,,2.44515538,2.01016259,0.06098857,6.66581345,102.233215,1,0,0,-0.9758782,0.8591452,4,6.93577528,297.187775,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.46721148,2.46721148,0,,Action,1,TurnLeft,0.1,,-0.6238718,0.9035376,3.12299633,5.090194,277.187775,0,0,0,1.76105022,1.86183882,7.00000048,4.892068,122.233276,1,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.46721148,2.46721148,0,,Action,1,Accelerate,0.1,,-0.6238718,0.9035376,3.12299633,5.090194,277.187775,0,0,0,1.76105022,1.86183882,7.00000048,4.892068,122.233276,1,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.46721148,2.46721148,1,,Action,0,TurnRight,0.1,,1.76105022,1.86183882,7.00000048,4.892068,122.233276,1,0,0,-0.6238718,0.9035376,3.12299633,5.090194,277.187775,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.56857944,2.56857944,0,,Action,0,Dash,0.2,,-0.227015421,0.9535861,4,3.735715,297.187775,1,0,0,1.07694507,1.713515,7.00000048,3.59030867,102.233215,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.56857944,2.56857944,1,,Action,1,TurnLeft,0.1,,1.07694507,1.713515,7.00000048,3.59030867,102.233215,0,0,0,-0.227015421,0.9535861,4,3.735715,297.187775,1,0,0,,,,,,,,,,,,,,,,,,,,
